1. ID: 2 | Name: AIIMS, New Delhi | State: Delhi | Fees: 1628
2. ID: 3 | Name: Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi | State: Delhi | Fees: 33000
3. ID: 4 | Name: Maulana Azad Medical College, New Delhi | State: Delhi | Fees: 2745
4. ID: 5 | Name: Atal Bihari Vajpayee Institute of Medical Sciences & Dr RML Hospital, New Delhi | State: Delhi | Fees: 4500
5. ID: 6 | Name: IPMER Puducherry | State: Puducherry | Fees: 14920
6. ID: 7 | Name: AIIMS, Jodhpur | State: Rajasthan | Fees: 4231
7. ID: 8 | Name: University College of Medical Sciences, New Delhi | State: Delhi | Fees: 31340
8. ID: 9 | Name: Lady Hardinge Medical College, New Delhi | State: Delhi | Fees: 1655
9. ID: 11 | Name: AIIMS, Bhubaneswar | State: Odisha | Fees: 5856
10. ID: 12 | Name: AIIMS, Rishikesh | State: Uttarakhand | Fees: 11450
11. ID: 13 | Name: AIIMS, Nagpur | State: Maharashtra | Fees: 5856
12. ID: 14 | Name: AIIMS, Raipur | State: Chhattisgarh | Fees: 5856
13. ID: 15 | Name: AIIMS, Patna | State: Bihar | Fees: 5856
14. ID: 16 | Name: Government Medical College and Hospital, Chandigarh | State: Chandigarh | Fees: 2479
15. ID: 17 | Name: Dr B.S.A Medical College, Delhi | State: Delhi | Fees: 114500
16. ID: 18 | Name: B.J Medical College, Ahmedabad | State: Gujarat | Fees: 25000
17. ID: 19 | Name: S.M.S Medical College, Jaipur | State: Rajasthan | Fees: 125300
18. ID: 20 | Name: Institute of Medical Sciences, BHU Varanasi | State: Uttar Pradesh | Fees: 33739
19. ID: 21 | Name: Seth G.S Medical College, Mumbai | State: Maharashtra | Fees: 61000
20. ID: 22 | Name: Government Medical College, Kozhikode | State: Kerala | Fees: 31715
21. ID: 23 | Name: Madras Medical College, Chennai | State: Tamil Nadu | Fees: 23073
22. ID: 24 | Name: Bangalore Medical College and Research Institute | State: Karnataka | Fees: 73000
23. ID: 25 | Name: AIIMS Mangalagiri | State: Andhra Pradesh | Fees: 5856
24. ID: 26 | Name: AIIMS Bathinda | State: Punjab | Fees: 5856
25. ID: 27 | Name: AIIMS, Bibinagar, Hyderabad | State: Telangana | Fees: 5856
26. ID: 28 | Name: AIIMS, Kalyani | State: West Bengal | Fees: 5856
27. ID: 29 | Name: KGMU, Lucknow | State: Uttar Pradesh | Fees: 46600
28. ID: 30 | Name: AIIMS, Gorakhpur | State: Uttar Pradesh | Fees: 5293
29. ID: 31 | Name: AIIMS Bilaspur Chamyar Palasiyan, Himachal Pradesh | State: Himachal Pradesh | Fees: 5856
30. ID: 32 | Name: NDMC Medical College, Delhi | State: Delhi | Fees: 105000
31. ID: 33 | Name: ESIC Medical College and Hospital, Basaidarapur | State: Delhi | Fees: 100000
32. ID: 34 | Name: B.J Government Medical College, Pune | State: Maharashtra | Fees: 62000
33. ID: 35 | Name: AIIMS Rajkot | State: Gujarat | Fees: 75
34. ID: 36 | Name: AIIMS Rai Bareli | State: Uttar Pradesh | Fees: 5856
35. ID: 37 | Name: AIIMS Deoghar | State: Jharkhand | Fees: 5856
36. ID: 38 | Name: AIIMS Guwahati | State: Assam | Fees: 5856
37. ID: 39 | Name: AIIMS Jammu | State: Jammu & Kashmir | Fees: 1628
38. ID: 40 | Name: Indira Gandhi Medical College, Shimla | State: Himachal Pradesh | Fees: 60000
39. ID: 41 | Name: Gandhi Medical College, Musheerabad Secunderabad | State: Telangana | Fees: 2900
40. ID: 42 | Name: Medical College, Kolkata | State: West Bengal | Fees: 6500
41. ID: 43 | Name: RUHS College of Medical Sciences, Jaipur | State: Rajasthan | Fees: 125200
42. ID: 44 | Name: Government Medical College, Thiruvananthapuram | State: Kerala | Fees: 31715
43. ID: 45 | Name: Lokmanya Tilak Municipal Medical College, Mumbai | State: Maharashtra | Fees: 155900
44. ID: 46 | Name: Government Medical College, Surat | State: Gujarat | Fees: 25000
45. ID: 47 | Name: JIPMER Karaikal | State: Puducherry | Fees: 14920
46. ID: 48 | Name: ESIC Medical College, Faridabad | State: Haryana | Fees: 100000
47. ID: 49 | Name: Sardar Patel Medical College, Bikaner | State: Rajasthan | Fees: 125300
48. ID: 50 | Name: Dr S.N Medical College, Jodhpur | State: Rajasthan | Fees: 125300
49. ID: 51 | Name: Jawaharlal Nehru Medical College, AMU Aligarh | State: Uttar Pradesh | Fees: 60300
50. ID: 52 | Name: Dr Ram Manohar Lohia Institute of Medical Sciences, Lucknow | State: Uttar Pradesh | Fees: 18000
51. ID: 53 | Name: Grant Medical College & Sir J.J Hospital, Mumbai | State: Maharashtra | Fees: 162100
52. ID: 54 | Name: KASTURBA Medical College & Research Kolkata | State: West Bengal | Fees: 6500
53. ID: 55 | Name: Osmania Medical College, Hyderabad | State: Telangana | Fees: 12000
54. ID: 56 | Name: ESIC Medical College & Hospital, Jaipur | State: Rajasthan | Fees: 100000
55. ID: 57 | Name: ESIC Medical College, Hyderabad | State: Telangana | Fees: 100000
56. ID: 58 | Name: Patna Medical College, Patna | State: Bihar | Fees: 27600
57. ID: 59 | Name: Govt Institute of Medical Sciences, Greater Noida | State: Uttar Pradesh | Fees: 83600
58. ID: 60 | Name: Stanley Medical College, Chennai | State: Tamil Nadu | Fees: 18073
