| National Institute of Ayurveda, Deemed to be University          | Rajasthan        |         ?54,863 | No                            |
| Faculty of Ayurveda, IMS BHU                                     | Uttar Pradesh    |         ?33,464 | UR: ?3,00,000; SC/ST: ?75,000 |
| Ayurvedic and Unani Tibbia College (Ayurveda), Karol Bagh        | Delhi            |          ?3,365 | No                            |
| Institute of Teaching and Research in Ayurveda                   | Gujarat          |          ?3,252 | No                            |
| All India Institute of Ayurveda, North Goa                       | Goa              |         ?41,400 | ?5,00,000                     |
| National Institute of Ayurveda, Deemed University, Panchkula     | Haryana          |   Not Available | No                            |
| Ch. Brahm Prakash Ayurved Charak Sansthan, Najafgarh             | Delhi            |       ?1,50,150 | No                            |
| Govt. Ayurveda Medical College, Lucknow                          | Uttar Pradesh    |         ?26,000 | No                            |
| MMM Govt. Ayurved Mahavidyalaya, Udaipur                         | Rajasthan        |          ?8,813 | No                            |
| State Model Institute of Ayurved Sciences, Kolavada, Gandhinagar | Gujarat          |          ?6,000 | No                            |
| Govt. Akhandanand Ayurveda Medical College, Ahmedabad            | Gujarat          |          ?6,000 | No                            |
| R.A. Podar Ayurved Medical College, Mumbai                       | Maharashtra      |         ?93,350 | ?3,00,000                     |
| Rajiv Gandhi Govt. PG Ayurvedic College, Paprola                 | Himachal Pradesh |         ?54,850 | No                            |
| Rishikul Govt. PG Ayurvedic College, Haridwar                    | Uttarakhand      |       ?1,00,000 | No                            |
| Pt. Khushilal Sharma Govt. Ayurved College, Bhopal               | Madhya Pradesh   |       ?1,04,785 | ?2,00,000                     |
| J.B. Roy State Ayurved Medical College & Hospital, Kolkata       | West Bengal      |          ?3,100 | ?1,00,000                     |
| Faculty of Ayurveda, Uttarakhand Ayurved University, Dehradun    | Uttarakhand      |         ?85,000 | No                            |
| SLBSS Govt. Ayurvedic College & Hospital, Handia, Prayagraj      | Uttar Pradesh    |   Not Available | Yes Available                 |
| Govt. Ayurved Medical College, Patiala                           | Punjab           |         ?85,125 | Yes Available                 |
| North Eastern Institute of Ayurveda & Homoeopathy, Shillong      | Meghalaya        |         ?42,100 | ?3,00,000                     |
| Govt. Ayurveda College, Nanded                                   | Maharashtra      |         ?65,400 | ?3,00,000                     |
| Tilak Ayurved Mahavidyalaya, Pune                                | Maharashtra      |       ?1,14,030 | No                            |
| Shri Narayan Prasad Awasthy Govt. Ayurved College, Raipur        | Chhattisgarh     |         ?26,000 | 2× Total Tuition Fees         |
| Bundelkhand Govt. Ayurvedic College & Hospital, Jhansi           | Uttar Pradesh    |         ?21,000 | No                            |
| Shri Krishna Govt. Ayurvedic College & Hospital, Kurukshetra     | Haryana          |         ?15,482 | No                            |
| Govt. Ayurveda College, Vadodara                                 | Gujarat          |          ?4,000 | No                            |
| Govt. Ayurved Medical College, Bangalore                                 | Karnataka         |         ?35,000 | No                             |
| Vaidyaratnam P. S. Varier Ayurveda College, Kottakkal                    | Kerala            |         ?24,855 | No                             |
| Gopabandhu Ayurveda Mahavidyalaya, Puri                                  | Odisha            |         ?10,780 | No                             |
| Govt. Dhanwantri Ayurveda College, Ujjain                                | Madhya Pradesh    |       ?1,09,535 | ?2,00,000                      |
| Govt. Ayurveda Medical College, Junagadh                                 | Gujarat           |          ?4,000 | No                             |
| Govt. Ayurveda Mahavidyalaya, Nagpur                                     | Maharashtra       |         ?55,500 | Yes Available                  |
| Shri Ayurved Mahavidyalaya, Nagpur                                       | Maharashtra       |         ?81,500 | No                             |
| Govt. Seth J.P. Ayurveda Medical College, Bhavnagar                      | Gujarat           |          ?6,000 | No                             |
| Govt. Ayurveda Mahavidyalaya, Jaipur                                     | Rajasthan         |          ?8,813 | No                             |
